match_id,team,score,detailed_score
ODI no. 3993,Ireland,205 ,"205 all out (46.2 Overs, RR: 4.42)"
ODI no. 4002,Zimbabwe,289,"289 all out (50 Overs, RR: 5.78)"
ODI no. 4002,West Indies,290/6 ,"290/6 (49 Overs, RR: 5.91)"
ODI no. 4003,United Arab Emirates,177,"177 all out (43 Overs, RR: 4.11)"
ODI no. 4003,Afghanistan,178/5 ,"178/5 (34.3 Overs, RR: 5.15)"
ODI no. 4004,West Indies,198,"198 all out (48.4 Overs, RR: 4.06)"
ODI no. 4004,Scotland,125/5 ,"125/5 (35.2 Overs, RR: 3.53)"
ODI no. 4006,Ireland,209/7,"209/7 (50 Overs, RR: 4.18)"
ODI no. 4006,Afghanistan,213/5 ,"213/5 (49.1 Overs, RR: 4.33)"
ODI no. 4008,Scotland,371/5,"371/5 (50 Overs, RR: 7.42)"
ODI no. 4008,England,365 ,"365 all out (48.5 Overs, RR: 7.47)"
ODI no. 4015,Pakistan,308/7,"308/7 (50 Overs, RR: 6.16)"
ODI no. 4015,Zimbabwe,107 ,"107 all out (35 Overs, RR: 3.05)"
ODI no. 4017,Zimbabwe,194,"194 all out (49.2 Overs, RR: 3.93)"
ODI no. 4017,Pakistan,195/1 ,"195/1 (36 Overs, RR: 5.41)"
ODI no. 4019,Zimbabwe,67,"67 all out (25.1 Overs, RR: 2.66)"
ODI no. 4019,Pakistan,69/1 ,"69/1 (9.5 Overs, RR: 7.01)"
ODI no. 4020,Pakistan,399/1,"399/1 (50 Overs, RR: 7.98)"
ODI no. 4020,Zimbabwe,155 ,"155 all out (42.4 Overs, RR: 3.63)"
